GAME_ID,TEAM_ID,FIRST_SHOT_TYPE,FIRST_SHOT_TIME_SEC,FIRST_MINUTE_BASKETS,FIRST_MINUTE_POINTS
0022500264,1610612753,2PT,22.0,0,0
0022500265,1610612758,2PT,,1,1
0022500265,1610612763,2PT,13.0,1,2
0022500266,1610612749,2PT,,1,2
0022500266,1610612755,2PT,21.0,1,2
0022500267,1610612737,2PT,21.0,1,2
0022500267,1610612759,2PT,,0,0
0022500268,1610612746,2PT,,1,2
0022500268,1610612766,2PT,23.0,2,4
0022500269,1610612752,2PT,25.0,1,2
0022500269,1610612753,3PT,,0,0
0022500270,1610612737,2PT,16.0,0,0
0022500270,1610612740,2PT,,0,0
0022500271,1610612741,2PT,30.0,1,2
0022500271,1610612764,2PT,,2,4
0022500272,1610612749,3PT,19.0,1,3
0022500272,1610612765,2PT,,1,2
0022500273,1610612742,2PT,,1,2
0022500273,1610612763,3PT,21.0,0,0
0022500274,1610612743,2PT,,1,3
0022500274,1610612758,2PT,15.0,1,2
0022500275,1610612748,3PT,25.0,1,3
0022500275,1610612755,3PT,,1,3
0022500276,1610612737,2PT,,0,0
0022500276,1610612766,2PT,14.0,2,4
0022500277,1610612738,2PT,,1,2
0022500277,1610612753,2PT,16.0,0,0
0022500278,1610612739,3PT,18.0,0,0
0022500278,1610612746,2PT,,1,2
0022500279,1610612751,2PT,,0,0
0022500279,1610612761,3PT,48.0,2,5
0022500280,1610612757,3PT,,0,0
0022500280,1610612760,2PT,18.0,2,4
0022500281,1610612756,3PT,19.0,1,2
0022500281,1610612759,2PT,,1,2
0022500282,1610612747,3PT,18.0,1,2
0022500282,1610612762,3PT,,0,0
0022500283,1610612754,3PT,24.0,1,2
0022500283,1610612765,2PT,,1,2
0022500284,1610612739,3PT,25.0,1,3
0022500284,1610612761,3PT,,0,0
0022500285,1610612751,2PT,19.0,0,0
0022500285,1610612752,2PT,,1,2
0022500286,1610612742,2PT,,0,0
0022500286,1610612748,2PT,16.0,0,0
0022500287,1610612743,3PT,15.0,0,0
0022500287,1610612763,2PT,,0,0
0022500288,1610612749,2PT,,0,0
0022500288,1610612757,3PT,24.0,0,0
0022500289,1610612740,2PT,,1,1
0022500289,1610612741,2PT,42.0,1,2
0022500290,1610612745,2PT,,0,0
0022500290,1610612756,2PT,16.0,1,2
0022500291,1610612744,3PT,16.0,0,0
0022500291,1610612762,2PT,,0,0
0022500292,1610612750,2PT,,1,2
0022500292,1610612758,2PT,25.0,0,0
0022500293,1610612738,3PT,,1,0
0022500293,1610612750,2PT,18.0,1,2
0022500294,1610612761,2PT,19.0,2,5
0022500294,1610612766,3PT,,0,0
0022500295,1610612741,2PT,30.0,1,2
0022500295,1610612754,3PT,,1,3
0022500296,1610612748,2PT,15.0,1,2
0022500296,1610612765,3PT,,1,3
0022500297,1610612749,3PT,,0,0
0022500297,1610612751,2PT,24.0,1,2
0022500298,1610612740,2PT,,0,0
0022500298,1610612744,3PT,14.0,0,0
0022500299,1610612743,2PT,,0,0
0022500299,1610612756,2PT,25.0,1,2
0022500300,1610612742,2PT,,1,2
0022500300,1610612746,2PT,15.0,1,3
0022500301,1610612745,3PT,,1,3
0022500301,1610612762,3PT,18.0,1,3
0022500302,1610612738,3PT,9.0,2,5
0022500302,1610612739,3PT,,0,0
0022500303,1610612752,2PT,,1,2
0022500303,1610612761,3PT,23.0,1,2
0022500304,1610612737,3PT,20.0,1,2
0022500304,1610612755,2PT,,1,2
0022500305,1610612757,3PT,,1,3
0022500305,1610612760,2PT,15.0,1,3
0022500306,1610612750,2PT,15.0,1,2
0022500306,1610612759,3PT,,1,3
0022500307,1610612758,2PT,,1,2
0022500307,1610612763,2PT,14.0,1,3
0022500308,1610612740,2PT,,0,0
0022500308,1610612747,3PT,15.0,1,3
0022500309,1610612737,2PT,15.0,2,4
0022500309,1610612765,2PT,,1,1
0022500310,1610612739,3PT,18.0,1,2
0022500310,1610612754,2PT,,1,2
0022500311,1610612749,2PT,44.0,1,2
0022500311,1610612764,3PT,,1,1
0022500312,1610612751,2PT,,0,0
0022500312,1610612766,3PT,9.0,2,6
0022500313,1610612746,3PT,20.0,0,0
0022500313,1610612748,3PT,,1,3
0022500314,1610612741,2PT,,1,2
0022500314,1610612753,2PT,16.0,1,2
0022500315,1610612742,2PT,17.0,0,0
0022500315,1610612743,2PT,,2,5
0022500316,1610612745,2PT,,0,0
0022500316,1610612762,3PT,16.0,1,2
0022500317,1610612747,2PT,30.0,1,2
0022500317,1610612756,3PT,,1,3
0022500318,1610612755,2PT,13.0,2,5
0022500318,1610612764,2PT,,1,2
0022500319,1610612757,3PT,,0,0
0022500319,1610612761,3PT,18.0,1,3
0022500320,1610612738,2PT,16.0,0,0
0022500320,1610612752,3PT,,1,3
0022500321,1610612740,2PT,,1,2
0022500321,1610612750,2PT,21.0,1,2
0022500322,1610612759,2PT,,0,0
0022500322,1610612763,2PT,34.0,0,0
0022500323,1610612744,3PT,,1,3
0022500323,1610612760,2PT,16.0,1,2
0022500324,1610612739,2PT,,1,2
0022500324,1610612757,2PT,25.0,1,1
0022500325,1610612743,2PT,,0,0
0022500325,1610612754,2PT,22.0,2,3
0022500326,1610612753,2PT,,0,0
0022500326,1610612759,2PT,17.0,1,3
0022500327,1610612737,2PT,,1,2
0022500327,1610612746,2PT,27.0,0,0
0022500328,1610612752,2PT,23.0,0,0
0022500328,1610612766,3PT,,0,0
0022500329,1610612741,3PT,16.0,0,0
0022500329,1610612751,3PT,,1,2
0022500330,1610612745,2PT,20.0,1,2
0022500330,1610612758,3PT,,0,0
0022500331,1610612749,3PT,22.0,0,0
0022500331,1610612765,3PT,,1,3
0022500332,1610612742,2PT,,0,0
0022500332,1610612748,3PT,17.0,1,3
0022500333,1610612744,3PT,,1,3
